track_id,track_name,artist_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_viral,duration_min,duration_category,optimal_length,energy_valence,mood,danceability_energy,vocal_instrumental_balance,acoustic_energy_balance,is_live,highly_danceable,tempo_category,dance_tempo,tempo_normalized,loudness_normalized,is_loud,party_index,chill_index,workout_index,popularity_bucket,release_year,release_month,release_day_of_week,is_weekend_release,song_age_years,artist_avg_popularity,artist_song_count,artist_max_popularity,artist_std_popularity,artist_has_viral_hit,key_target_enc,mode_target_enc,time_signature_target_enc,poly_danceability_x_energy,poly_danceability_x_valence,poly_danceability_x_loudness_normalized,poly_energy_x_valence,poly_energy_x_loudness_normalized,poly_valence_x_loudness_normalized,mood_happy_energetic,mood_neutral,mood_sad_calm,mood_sad_energetic,duration_category_short,duration_category_medium,duration_category_long,tempo_category_moderate,tempo_category_fast,tempo_category_very_fast,popularity_bucket_medium,popularity_bucket_high,popularity_bucket_viral
track_000000,Song 1,Artist E,11,214071,0,0.7957962893885334,0.7514379330856781,3,-13.28559818493671,0,0.0029346820983931,0.5203314536891825,0.0743843388552585,0.1457319949275451,0.6847914050225976,145.0562792662014,4,0,3.56785,medium,1,0.5145782379850182,happy_energetic,0.5979915188553717,-0.0714496567568654,-0.23110647939649553,0,1,fast,0,0.5802251170648055,0.7785733635843882,0,0.749187317187896,0.4881386230567488,0.7490180581590188,low,2021,11,6,1,5,34.36363636363637,198,98,27.062985209241518,1,0.16352201257861634,0.19139194139194138,0.1970417326994189,0.5979915188553717,0.5449544591221435,0.6195857937572057,0.5145782379850182,0.5850495590874168,0.5331603475621229,True,False,False,False,False,True,False,False,True,False,False,False,False
track_000001,Song 2,Artist E,19,170235,1,0.7256660469967509,0.878709207150594,3,-12.813166946543252,1,0.0186194593548301,0.4198933536328478,0.0079717685729501,0.1814972903821211,0.3374891533725133,79.72939149646677,4,0,2.83725,short,1,0.29655482638188635,sad_energetic,0.6376494368126207,0.010647690781880001,-0.4588158535177462,0,1,slow,0,0.3189175659858671,0.7864472175576125,0,0.6551259269556325,0.3055913253197149,0.7162381343315196,low,2018,7,6,1,8,34.36363636363637,198,98,27.062985209241518,1,0.16352201257861634,0.20932539682539683,0.1970417326994189,0.6376494368126207,0.2449044198321119,0.5706980435366263,0.29655482638188635,0.6910584110058403,0.2654174056256874,False,False,False,True,True,False,False,False,False,False,False,False,False
track_000002,Song 3,Artist F,2,260736,0,0.564329179567133,0.6955255418595557,6,-7.1870756939766665,1,0.2869313547764486,0.3139841089447991,0.2578130237772013,0.2658626183427857,0.3395228049269165,63.55867774417332,4,0,4.3456,long,0,0.23614678287046983,sad_energetic,0.3925053584055887,0.02911833099924732,-0.3815414329147566,0,0,slow,0,0.2542347109766933,0.8802154051003889,0,0.5362461758627949,0.3187928224981279,0.6191438685661156,low,2025,12,5,1,1,33.38990825688074,218,98,28.46842035651488,1,0.2094240837696335,0.20932539682539683,0.1970417326994189,0.3925053584055887,0.19160262594873853,0.49673123740265407,0.23614678287046983,0.6122122965855763,0.2988532032795661,False,False,False,True,False,False,True,False,False,False,False,False,False
track_000003,Song 4,Artist A,94,205333,0,0.7876278197268776,0.6596127560792087,3,-3.685757153304227,0,0.0323676684959503,0.305600711977921,0.0399653928523561,0.2201406317095456,0.5282132570657347,76.7811514267156,4,1,3.4222166666666665,medium,1,0.34841620229070486,neutral,0.5195293569347038,-0.007597724356405801,-0.35401204410128767,0,1,slow,0,0.3071246057068624,0.9385707141115963,1,0.671398931834234,0.3828204350871262,0.632692248001997,viral,2022,10,4,0,4,40.35746606334842,221,99,28.222231741289878,1,0.16352201257861634,0.19139194139194138,0.1970417326994189,0.5195293569347038,0.4160354560135174,0.7392444052152152,0.34841620229070486,0.6190932155103811,0.4957654938873989,False,True,False,False,False,True,False,False,False,False,False,False,True
track_000004,Song 5,Artist J,3,234693,0,0.6584309311037017,0.769370657555962,1,-6.452752920906695,0,0.0360223041726369,0.1682138578575534,0.0193659575504758,0.2669174567121453,0.7890238141861243,72.64056780761716,4,0,3.91155,medium,1,0.6070517707476917,happy_energetic,0.5065774384184393,0.016656346622161103,-0.6011567996984086,0,0,slow,0,0.2905622712304686,0.8924541179848884,0,0.7308907139641065,0.37318149013207,0.6721370040863844,low,2019,7,4,0,7,35.559471365638764,227,98,27.523597850887196,1,0.2087912087912088,0.19139194139194138,0.1970417326994189,0.5065774384184393,0.5195176846375639,0.5876193958721229,0.6070517707476917,0.6866280115925597,0.7041675521585501,True,False,False,False,False,True,False,False,False,False,False,False,False
track_000005,Song 6,Artist J,37,205470,0,0.7322851655276931,0.5390540201753489,0,-10.229135746949732,0,0.2671256239865895,0.1626620519660883,0.1403536675405475,0.0391395155049646,0.4442968459407849,161.6337950418335,4,0,3.4245,medium,1,0.23950000095560772,neutral,0.39474126239247376,0.126771956446042,-0.3763919682092606,0,1,very_fast,0,0.646535180167334,0.8295144042175046,0,0.5879193260459173,0.33663766851606614,0.6778805834939255,medium,2021,7,3,0,5,35.559471365638764,227,98,27.523597850887196,1,0.1875,0.19139194139194138,0.1970417326994189,0.39474126239247376,0.3253519893731796,0.607441092800021,0.23950000095560772,0.4471530743868052,0.3685506334562866,False,True,False,False,False,True,False,False,False,True,True,False,False
track_000006,Song 7,Artist J,87,247813,0,0.7081393213757026,0.8549501657414503,1,-9.17263495696528,0,0.0874489014838672,0.098385220696922,0.0763701082889693,0.1920022977494129,0.4526890617616879,171.2735824958308,4,1,4.130216666666667,long,0,0.3870265883824967,neutral,0.6054238301781951,0.011078793194897907,-0.7565649450445283,0,1,very_fast,0,0.6850943299833232,0.8471227507172453,0,0.6755474968012225,0.21867575708484008,0.8538100067579204,viral,2024,8,2,0,2,35.559471365638764,227,98,27.523597850887196,1,0.2087912087912088,0.19139194139194138,0.1970417326994189,0.6054238301781951,0.3205669249901252,0.5998809298148285,0.3870265883824967,0.7242477361290621,0.38348320321917,False,True,False,False,False,False,True,False,False,True,False,False,True
track_000007,Song 8,Artist G,90,179696,0,0.3337029799581761,0.5338395953442137,4,-4.398071732804892,1,0.0018718414415445,0.4285600108782145,0.1457757998381456,0.293759821276298,0.3751455143160903,79.61176213311336,4,1,2.9949333333333334,short,1,0.20026752955769855,neutral,0.17814386378603098,-0.14390395839660108,-0.10527958446599917,0,0,slow,0,0.3184470485324534,0.9266988044532518,1,0.4061767248813616,0.4238157800428487,0.5716772017624272,viral,2017,1,2,0,9,38.52105263157895,190,97,29.125473476585935,1,0.16666666666666666,0.20932539682539683,0.1970417326994189,0.17814386378603098,0.12518717604522195,0.30924215256972926,0.20026752955769855,0.49470851477529054,0.3476468996127211,False,True,False,False,True,False,False,False,False,False,False,False,True
track_000008,Song 9,Artist F,20,204358,0,0.6867908341172416,0.7584927714367803,8,-7.661835469611834,1,0.0499359085650472,0.2442321333367091,0.0487175244884457,0.1237732498517789,0.7614048475018961,175.16407849235216,4,0,3.4059666666666666,medium,1,0.5775200729671122,happy_energetic,0.5209258831669646,0.0012183840766014989,-0.5142606381000712,0,0,very_fast,0,0.7006563139694086,0.8723027421731362,0,0.7306856193284995,0.39856647615421836,0.8164530518915456,low,2021,10,5,1,5,33.38990825688074,218,98,28.46842035651488,1,0.18452380952380953,0.20932539682539683,0.1970417326994189,0.5209258831669646,0.5229258703167383,0.5990895278998454,0.5775200729671122,0.6616353244428053,0.6641755363798225,True,False,False,False,False,True,False,False,False,True,False,False,False
track_000009,Song 10,Artist B,50,256978,0,0.8846837222669921,0.6242810953658865,2,-7.350841182021521,1,0.0167608742100268,0.2549953780231779,0.0732615318284438,0.0506178786141513,0.4570242594372032,120.99420581490476,4,0,4.282966666666667,long,0,0.2853116052902403,neutral,0.5522913231892075,-0.05650065761841701,-0.3692857173427086,0,1,fast,1,0.48397682325961905,0.8774859802996413,0,0.6782650953477237,0.35182110043066617,0.6691290524652287,medium,2025,10,6,1,1,36.7688679245283,212,99,28.893141458776693,1,0.24074074074074073,0.20932539682539683,0.1970417326994189,0.5522913231892075,0.4043219230052204,0.7762975632885871,0.2853116052902403,0.5477979089496687,0.40103238031297184,False,True,False,False,False,False,True,False,True,False,True,False,False
